node1,node2,CN,JC,AA,RA,PA,label
34049,24055,0,0.0,0,0,12,1
133401,107482,0,0.0,0,0,6,1
3998,103163,0,0.0,0,0,495,1
36660,279133,0,0.0,0,0,36,1
88302,158363,0,0.0,0,0,4,1
51639,125831,0,0.0,0,0,1,1
1988,14567,1,0.0032679738562091504,0.23459420572161058,0.014084507042253521,2392,1
2014,276476,0,0.0,0,0,164,1
193522,95871,0,0.0,0,0,6,1
80861,28080,1,0.125,0.20093500109845577,0.006896551724137931,20,1
66582,20920,0,0.0,0,0,16,1
132404,267269,2,0.14285714285714285,0.8977338984463559,0.21929824561403508,63,1
9964,29493,0,0.0,0,0,215,1
52882,87173,0,0.0,0,0,20,1
90325,64484,1,0.14285714285714285,0.2239186238120062,0.011494252873563218,15,1
1999,223333,1,0.125,0.9102392266268373,0.3333333333333333,14,1
37685,38804,0,0.0,0,0,6,1
71888,47631,2,0.125,0.9856048903809271,0.2727272727272727,77,1
35248,331581,1,0.07142857142857142,1.4426950408889634,0.5,36,1
37759,237009,0,0.0,0,0,10,1
16527,31740,0,0.0,0,0,94,1
37428,20375,0,0.0,0,0,24,1
28476,61544,0,0.0,0,0,126,1
2001,279133,0,0.0,0,0,12,1
33261,54272,0,0.0,0,0,6,1
16978,162857,0,0.0,0,0,2,1
920,8016,1,0.0625,0.9102392266268373,0.3333333333333333,42,1
105416,120021,0,0.0,0,0,12,1
221491,26398,1,0.017543859649122806,0.36926937306885504,0.06666666666666667,616,1
132864,42354,0,0.0,0,0,6,1
2696,220940,0,0.0,0,0,48,1
3998,174901,1,0.002012072434607646,0.20815895490223127,0.00819672131147541,1485,1
7592,59399,0,0.0,0,0,5,1
231,110851,0,0.0,0,0,5,1
165093,29805,0,0.0,0,0,12,1
40744,17193,0,0.0,0,0,10,1
4639,325962,1,0.2,0.7213475204444817,0.25,8,1
9647,20626,0,0.0,0,0,2,1
103451,64906,2,0.07407407407407407,0.6493893318034727,0.09259259259259259,208,1
3604,412404,0,0.0,0,0,170,1
46754,224959,1,0.05263157894736842,0.9102392266268373,0.3333333333333333,51,1
4830,13603,1,0.058823529411764705,0.2269261879165124,0.012195121951219513,72,1
76112,14584,0,0.0,0,0,21,1
511,56303,0,0.0,0,0,702,1
14677,61527,0,0.0,0,0,28,1
8385,356234,0,0.0,0,0,9,1
50619,27800,1,0.058823529411764705,0.30692767643013485,0.038461538461538464,32,1
34333,155414,1,0.16666666666666666,0.3898712452512801,0.07692307692307693,10,1
276475,14602,0,0.0,0,0,75,1
43937,56771,0,0.0,0,0,12,1
3998,80101,6,0.011857707509881422,2.243478916455392,0.5015589146736688,8415,1
4528,7124,1,0.07692307692307693,1.4426950408889634,0.5,45,1
370,251706,0,0.0,0,0,35,1
221430,60516,0,0.0,0,0,6,1
77811,30631,0,0.0,0,0,1,1
113099,253195,0,0.0,0,0,4,1
4665,323578,2,0.043478260869565216,0.46458491699613313,0.039057239057239054,176,1
3604,192349,3,0.03488372093023256,0.7158006812505308,0.055481365506231964,340,1
49154,21109,0,0.0,0,0,4,1
9914,20385,0,0.0,0,0,168,1
42916,174504,1,0.16666666666666666,0.9102392266268373,0.3333333333333333,10,1
35376,54009,1,0.011111111111111112,0.25973030217227155,0.02127659574468085,348,1
166185,26152,0,0.0,0,0,2,1
76846,13618,0,0.0,0,0,12,1
13099,14454,0,0.0,0,0,123,1
242760,223333,1,0.25,0.5138983423697507,0.14285714285714285,6,1
179509,123248,0,0.0,0,0,1,1
131883,2177,1,0.010416666666666666,0.265872585674852,0.023255813953488372,190,1
74021,16406,2,0.3333333333333333,1.631586747071319,0.5833333333333333,15,1
1988,17647,0,0.0,0,0,299,1
349,108349,0,0.0,0,0,178,1
114955,51524,1,0.25,1.4426950408889634,0.5,6,1
1988,257993,0,0.0,0,0,897,1
2009,96822,0,0.0,0,0,1,1
213,11671,0,0.0,0,0,132,1
11135,17866,1,0.08333333333333333,0.7213475204444817,0.25,30,1
3998,46117,6,0.011787819253438114,2.555374014121982,0.6326719576719575,9900,1
83921,83970,0,0.0,0,0,2,1
3972,110903,3,0.05454545454545454,0.7020652151392203,0.060737965314624345,837,1
1988,103537,0,0.0,0,0,897,1
72455,11548,0,0.0,0,0,2,1
3998,46450,0,0.0,0,0,495,1
11991,17193,0,0.0,0,0,315,1
7134,390830,0,0.0,0,0,4,1
81405,18792,1,0.05263157894736842,0.26425736993644544,0.022727272727272728,64,1
9910,92153,0,0.0,0,0,10,1
349,7020,1,0.005405405405405406,0.20815895490223127,0.00819672131147541,1424,1
68740,26681,0,0.0,0,0,20,1
65709,331454,0,0.0,0,0,7,1
144204,28137,0,0.0,0,0,12,1
18319,28964,0,0.0,0,0,12,1
157724,30231,0,0.0,0,0,44,1
13808,26158,7,0.028688524590163935,2.349995174487424,0.4347076899708479,8610,1
2670,58281,0,0.0,0,0,21,1
13808,64808,2,0.009302325581395349,0.43769001602660795,0.02101723413198823,1470,1
5744,13673,0,0.0,0,0,2,1
548,122175,0,0.0,0,0,9,1
99030,2417,0,0.0,0,0,606,1
138461,76003,1,0.3333333333333333,0.9102392266268373,0.3333333333333333,4,1
229447,3998,1,0.002,0.20815895490223127,0.00819672131147541,2970,1
1961,101971,1,0.25,1.4426950408889634,0.5,6,1
189146,26139,0,0.0,0,0,58,1
33461,92949,0,0.0,0,0,6,1
7100,56638,0,0.0,0,0,10,1
2042,352985,0,0.0,0,0,4,1
6659,343255,0,0.0,0,0,10,1
1988,12638,1,0.0033333333333333335,0.20815895490223127,0.00819672131147541,598,1
98358,153030,0,0.0,0,0,4,1
360825,288958,1,0.25,0.45511961331341866,0.1111111111111111,6,1
54376,120684,0,0.0,0,0,15,1
10816,179261,0,0.0,0,0,3,1
76620,52387,0,0.0,0,0,1,1
519,35235,0,0.0,0,0,284,1
396769,3998,0,0.0,0,0,990,1
105407,88695,0,0.0,0,0,24,1
1988,265554,0,0.0,0,0,1196,1
59945,31671,0,0.0,0,0,18,1
177829,30231,0,0.0,0,0,33,1
272246,52087,0,0.0,0,0,29,1
