node1,node2,CN,JC,AA,RA,PA,label
299040,359546,20,0.8695652173913043,6.569174775061022,0.9523809523809528,462,1
214137,26031,6,0.35294117647058826,2.1299049600069324,0.3664835164835165,112,1
346045,290319,16,0.8888888888888888,5.50840196661339,0.8790923217441847,289,1
2060,15833,0,0.0,0,0,70,1
109410,129630,7,0.4375,3.0791885332024194,0.7214646464646464,120,1
18883,27944,0,0.0,0,0,30,1
103756,286474,17,0.4722222222222222,5.100638519524203,0.6116465246221348,630,1
8093,27342,1,0.03333333333333333,0.2452460618098304,0.01694915254237288,130,1
47841,97248,2,0.14285714285714285,0.8069036366755264,0.16783216783216784,48,1
231346,206679,0,0.0,0,0,6,1
71534,90271,2,0.07692307692307693,0.7620472897435535,0.14957264957264957,115,1
318737,359433,14,0.8235294117647058,5.004282172165881,0.8551282051282051,240,1
165355,286342,58,0.9666666666666667,13.831483767826109,0.8811477382664916,3481,1
190030,94757,2,0.16666666666666666,1.0402765093482826,0.2934782608695652,48,1
45990,49035,1,0.02631578947368421,0.2835784920513334,0.029411764705882353,374,1
20581,27221,0,0.0,0,0,180,1
252697,257021,59,0.6483516483516484,14.149261907912306,0.9204031035632059,5576,1
11255,26626,17,0.1717171717171717,4.978813921711978,0.5947317994766097,3363,1
96785,96794,14,0.875,5.152579997270742,0.9249999999999999,225,1
52711,152264,1,0.2,0.6213349345596119,0.2,9,1
318870,319294,11,0.8461538461538461,4.11711770255103,0.7713675213675215,144,1
266972,256649,13,0.7222222222222222,4.417821914715104,0.7041466122348474,238,1
6390,56449,0,0.0,0,0,14,1
34271,34376,2,0.1,0.8010958695746122,0.16666666666666666,117,1
46213,92244,5,0.10416666666666667,2.4067306018805623,0.6319014319014318,690,1
359452,359804,23,0.92,7.23314303705055,0.9566666666666663,576,1
77831,89672,1,0.047619047619047616,0.5138983423697507,0.14285714285714285,85,1
199059,61506,33,0.3,8.4797696442635,0.7014747482209499,4872,1
121742,286321,58,0.8529411764705882,13.838900316156582,0.8831715176745363,3953,1
287432,359539,20,0.9090909090909091,6.564231489456644,0.9502164502164507,441,1
67024,7236,35,0.4117647058823529,8.928264778712597,0.7223936042691163,3024,1
1953,38113,3,0.125,1.4475247217679175,0.37777777777777777,152,1
40215,7691,19,0.6129032258064516,5.86666186913544,0.751221729735196,621,1
146712,81357,4,0.13793103448275862,1.3415984924091413,0.2098336304218657,140,1
295077,264828,4,0.36363636363636365,1.647072134420952,0.3552521008403361,54,1
56290,97889,4,0.1,1.975989509012504,0.5285714285714285,259,1
103735,57026,0,0.0,0,0,28,1
6728,64988,3,0.06521739130434782,1.2894169452077717,0.30025062656641605,418,1
45733,19615,1,0.08333333333333333,0.5581106265512472,0.16666666666666666,40,1
270050,61506,33,0.3142857142857143,8.476762080158993,0.7007738791432936,4592,1
2721,80623,1,0.25,0.6213349345596119,0.2,6,1
106561,118773,1,0.027777777777777776,0.3001016285004131,0.03571428571428571,340,1
18948,24022,1,0.045454545454545456,0.25831776680732876,0.020833333333333332,130,1
69512,28180,0,0.0,0,0,7,1
41901,56130,0,0.0,0,0,102,1
311768,128404,1,0.04,0.5138983423697507,0.14285714285714285,105,1
106561,51562,0,0.0,0,0,540,1
236390,240609,4,0.1111111111111111,1.2626506978795677,0.1727838827838828,256,1
69363,20385,2,0.14285714285714285,1.3272716180510837,0.4242424242424242,55,1
