node1,node2,CN,JC,AA,RA,PA
369,248917,0.0,0.0,0.0,0.0,0.0
16188,95846,0.9970249163257716,0.0,0.0,0.0,0.0
3571,7978,0.0,0.0,0.0,0.0,0.0
16801,64911,1.0,0.0,1.0,1.0,1.0
80429,49694,1.0,0.0,1.0,1.0,0.0
6669,6693,0.0,0.0,0.0,0.0,0.0
169754,11267,0.0,0.0,0.0,0.0,0.0
5226,170689,0.0,0.0,0.0,0.0,1.0
98639,66279,0.9970249163257716,0.0,1.0,1.0,0.0
5193,303217,0.0,0.0,0.0,0.0,0.0
27029,158955,0.0,0.0,0.0,0.0,0.0
364354,8903,0.0,0.0,0.0,0.0,0.0
56,1315,0.0,0.0,0.0,0.0,0.0
197986,6644,0.9970249163257716,0.0,0.0,0.0,0.0
330539,13813,0.0,0.0,0.0,0.0,0.9998140572703608
383,203714,0.0,0.0,0.0,0.0,0.0
16358,54009,1.0,0.0,0.0,0.0,0.0
3547,129280,0.0,0.0,0.0,0.0,0.0
33476,138860,0.0,0.0,0.0,0.0,0.0
67382,119429,0.0,0.0,0.0,0.0,0.0
98493,30075,0.0,0.0,0.0,0.0,0.0
69031,249845,0.9970249163257716,0.0,0.0,0.0,0.0
135630,13813,0.0,0.0,0.0,0.0,0.9998140572703608
46752,124930,1.0,0.0,1.0,1.0,0.0
100162,2941,1.0,0.0,0.0,0.0,0.0
71688,64816,0.0,0.0,0.0,0.0,0.0
104712,28476,0.0,0.0,0.0,0.0,0.0
11991,13754,0.9970249163257716,0.0,0.0,0.0,0.0
51181,28285,0.9970249163257716,0.0,1.0,1.0,0.0
197986,14729,0.9970249163257716,0.0,0.0,0.0,0.0
349,41733,0.0,0.0,0.0,0.0,1.0
83695,86501,0.0,0.0,0.0,0.0,0.0
14650,408152,0.0,0.0,0.0,0.0,0.0
280798,27875,0.0,0.0,0.0,0.0,0.0
166095,30231,0.0,0.0,0.0,0.0,0.0
5011,27027,0.0,0.0,0.0,0.0,0.0
43332,52761,0.0,0.0,0.0,0.0,0.0
6644,356539,0.0,0.0,0.0,0.0,0.0
9107,29493,0.0,0.0,0.0,0.0,0.0
100127,5226,0.0,0.0,0.0,0.0,1.0
36829,9968,0.0,0.0,0.0,0.0,0.0
7962,208183,1.0,0.0,1.0,1.0,0.0
8942,186603,0.0,0.0,0.0,0.0,0.0
237751,64911,0.0,0.0,0.0,0.0,0.0
23159,32351,0.9970249163257716,0.0,1.0,1.0,0.0
217199,24755,0.0,0.0,0.0,0.0,0.0
86249,130555,0.0,0.0,0.0,0.0,0.0
2010,92920,0.0,0.0,0.0,0.0,0.0
3571,8387,0.0,0.0,0.0,0.0,0.0
103824,30069,0.0,0.0,0.0,0.0,0.0
216,140402,0.0,0.0,0.0,0.0,0.0
40478,114224,0.0,0.0,0.0,0.0,0.0
34749,5247,0.0,0.0,0.0,0.0,0.0
55295,26352,0.0,0.0,0.0,0.0,0.0
3946,44084,0.0,0.0,0.0,0.0,0.0
349,192349,0.0,0.0,0.0,0.0,0.0
138369,12223,0.0,0.0,0.0,0.0,0.0
202936,47666,0.0,0.0,0.0,0.0,0.0
3704,4599,0.9970249163257716,0.0,0.0,0.0,0.0
29380,163378,0.0,0.0,0.0,0.0,0.0
77,624,0.0,0.0,0.0,0.0,0.0
7274,83874,0.0,0.0,0.0,0.0,0.0
213,220950,0.9970249163257716,0.0,0.0,0.0,0.0
11921,25907,0.9970249163257716,0.0,0.0,0.0,0.0
175865,26158,0.0,0.0,0.0,0.0,0.0
77579,31337,0.0,0.0,0.0,0.0,0.0
11991,12965,1.0,0.0,0.0,0.0,1.0
23569,455694,0.0,0.0,0.0,0.0,0.0
138369,12493,0.0,0.0,0.0,0.0,0.0
2010,16457,0.0,0.0,0.0,0.0,0.0
206498,149581,0.0,0.0,0.0,0.0,0.0
815,1828,0.0,0.0,0.0,0.0,0.0
51313,26139,0.0,0.0,0.0,0.0,0.0
100554,11921,0.0,0.0,0.0,0.0,0.0
74036,74047,0.9970249163257716,0.0,0.0,0.0,0.0
132406,93502,0.9970249163257716,0.0,0.0,0.0,0.0
11039,89709,0.0,0.0,0.0,0.0,0.0
37964,78425,0.0,0.0,0.0,0.0,0.0
119130,23092,0.0,0.0,0.0,0.0,0.0
204837,47509,0.0,0.0,0.0,0.0,0.0
107278,96979,0.9970249163257716,0.0,1.0,1.0,0.0
7414,93183,0.0,0.0,0.0,0.0,0.0
4796,10179,0.9970249163257716,0.0,0.0,0.0,0.0
80933,82988,0.9970249163257716,0.0,0.0,0.0,0.0
396455,13591,0.0,0.0,0.0,0.0,0.0
14615,53606,0.9970249163257716,0.0,0.0,0.0,0.0
13766,17190,1.0,0.0,0.0,0.0,0.0
78103,130856,0.0,0.0,0.0,0.0,0.0
143258,50927,0.0,0.0,0.0,0.0,0.0
14577,63709,0.0,0.0,0.0,0.0,0.0
14577,257711,0.0,0.0,0.0,0.0,0.0
76862,44135,0.0,0.0,0.0,0.0,0.0
250848,28476,0.9970249163257716,0.0,1.0,1.0,0.0
394678,37532,0.9970249163257716,0.0,0.0,0.0,0.0
2994,331789,0.0,0.0,0.0,0.0,0.0
35376,58074,1.0,0.0,1.0,1.0,0.0
189,35999,0.0,0.0,0.0,0.0,0.0
104755,104768,0.0,0.0,0.0,0.0,0.0
232205,12265,0.0,0.0,0.0,0.0,0.0
12751,216205,0.0,0.0,0.0,0.0,0.0
207564,244803,0.0,0.0,0.0,0.0,0.0
42170,154107,0.0,0.0,0.0,0.0,0.0
10901,10941,0.0,0.0,0.0,0.0,0.0
69408,26139,0.0,0.0,0.0,0.0,0.0
265801,6648,0.9970249163257716,0.0,0.0,0.0,0.0
5193,188620,0.9970249163257716,0.0,0.0,0.0,0.0
36875,28214,0.9970249163257716,0.0,0.0,0.0,0.0
72145,39851,0.0,0.0,0.0,0.0,0.0
9806,29016,0.0,0.0,0.0,0.0,0.0
33122,89878,0.0,0.0,0.0,0.0,0.0
53508,64906,0.9970249163257716,0.0,0.0,0.0,0.0
5011,283935,0.0,0.0,0.0,0.0,0.0
18431,56209,0.0,0.0,0.0,0.0,0.0
138766,80920,0.0,0.0,0.0,0.0,0.0
263490,26677,0.9970249163257716,0.0,1.0,1.0,0.0
4994,93258,0.0,0.0,0.0,0.0,0.0
69746,40261,0.0,0.0,0.0,0.0,0.0
5041,196132,0.0,0.0,0.0,0.0,0.0
394678,50901,0.9970249163257716,0.0,0.0,0.0,0.0
11946,176255,0.0,0.0,0.0,0.0,0.0
122468,324349,0.9970249163257716,0.0,1.0,1.0,0.0
349,275005,0.0,0.0,0.0,0.0,0.0
87892,62530,0.9970249163257716,0.0,1.0,1.0,0.0
2010,8327,0.0,0.0,0.0,0.0,0.0
16527,64993,1.0,0.0,0.0,0.0,0.0
8835,118150,0.9970249163257716,0.0,0.0,0.0,0.0
49652,152380,0.0,0.0,0.0,0.0,0.0
10219,12922,0.0,0.0,0.0,0.0,0.0
17175,51334,0.0,0.0,0.0,0.0,0.0
59178,28476,0.0,0.0,0.0,0.0,0.0
66632,11135,0.0,0.0,0.0,0.0,0.0
22680,126459,0.9970249163257716,0.0,0.9998140572703608,0.9998140572703608,0.0
8903,353388,0.0,0.0,0.0,0.0,0.0
50276,65097,0.0,0.0,0.0,0.0,0.0
13813,26158,1.0,0.0,1.0,1.0,1.0
26139,27145,0.0,0.0,0.0,0.0,0.0
21046,119701,0.0,0.0,0.0,0.0,0.0
118093,26158,0.0,0.0,0.0,0.0,0.0
349,50163,0.0,0.0,0.0,0.0,0.0
6753,10392,0.0,0.0,0.0,0.0,0.0
